gastos idade tempo expostos sinistros
29152.34 1 1 421 516
29005.63 2 1 452 579
14941.05 3 1 459 460
24696.59 4 1 464 592
20714.45 5 1 451 499
17161.82 6 1 473 391
13859.51 7 1 494 400
14617.34 8 1 502 376
12071.78 9 1 515 478
11427.21 10 1 534 358
13385.73 11 1 505 331
17204.8 12 1 539 405
15650.67 13 1 548 421
13562.9 14 1 517 367
15515.29 15 1 544 321
16616.44 16 1 474 420
14426.54 17 1 470 362
39114.44 18 1 480 483
13749.61 19 1 509 450
18731.98 20 1 594 467
25020.78 21 1 578 502
27658.26 22 1 536 647
31720.01 23 1 532 702
27745.95 24 1 550 494
91958.71 25 1 479 626
34124.45 26 1 564 687
34335.96 27 1 634 723
39792.97 28 1 625 878
91876.19 29 1 653 694
55479.18 30 1 696 894
67566.38 31 1 660 931
59418.62 32 1 669 971
72978.82 33 1 593 683
84771.6 34 1 620 869
60054.11 35 1 576 790
32961.59 36 1 588 723
43359.67 37 1 587 673
44341.91 38 1 518 847
45330.58 39 1 524 701
47808.13 40 1 491 622
44302.63 41 1 492 847
59400.35 42 1 497 609
33654.32 43 1 516 684
71828.34 44 1 491 900
27630.5 45 1 490 602
67293.36 46 1 461 821
73790.08 47 1 411 684
35359.41 48 1 398 704
73011.38 49 1 408 777
82035.43 50 1 433 962
76712.7 51 1 428 855
110089.52 52 1 362 623
26202.03 53 1 335 652
28665.98 54 1 334 715
70957.4 55 1 237 760
75891.68 56 1 245 469
80952.94 57 1 232 533
14236.33 58 1 194 356
58391.09 59 1 137 376
19340.98 60 1 112 266
13859.68 61 1 123 266
15055.44 62 1 64 128
66720.48 63 1 59 250
6092.9 64 1 34 58
5024.41 65 1 32 75
3035.96 66 1 32 87
668.1 67 1 20 33
532.2 68 1 14 41
2236.81 69 1 11 65
235.64 70 1 9 21
511.91 71 1 8 15
777.44 72 1 4 25
17881.52 73 1 2 11
54.76 74 1 2 1
17168.71 75 1 3 28
0 76 1 2 0
44.7 77 1 2 1
350.64 78 1 5 13
23.37 79 1 2 2
1959.51 80 1 4 66
52279.46 81 1 3 56
0.06 82 1 2 1
99.33 83 1 2 4
44.7 84 1 2 1
0 85 1 1 0
0 86 1 0 0
62.76 87 1 1 6
17191.93 88 1 1 29
0 89 1 0 0
92.04 90 1 2 3
0 91 1 0 0
0 92 1 0 0
0 93 1 0 0
0 94 1 0 0
0 95 1 0 0
0 96 1 0 0
0 97 1 0 0
0 98 1 0 0
0 99 1 0 0
0 100 1 0 0
0 101 1 0 0
0 102 1 0 0
0 103 1 0 0
0 104 1 0 0
0 105 1 0 0
84032.87 1 2 720 966
48681.15 2 2 790 1063
39005.75 3 2 780 914
30723.89 4 2 839 852
31100.27 5 2 759 796
25983.04 6 2 816 794
23349.35 7 2 840 708
27806.85 8 2 830 864
23609.6 9 2 848 702
31409.75 10 2 862 809
18891.08 11 2 888 692
22748.4 12 2 820 758
17880.46 13 2 824 529
20915.13 14 2 867 710
27787.5 15 2 852 598
60540.28 16 2 805 646
60918.39 17 2 753 609
19270.14 18 2 717 638
98366.79 19 2 847 908
58983.37 20 2 943 839
43700.82 21 2 1026 1055
66909.61 22 2 971 915
74119.15 23 2 928 953
47844.48 24 2 1069 1149
95164.08 25 2 899 1196
65139.8 26 2 1060 1228
72249.77 27 2 1143 1474
